presentation_order,filename,rating,rt_seconds
190,20_1_0_20170117141204569_proc.png,4,1.322
191,23_1_0_20170104021538021_proc.png,3,0.996
192,22_1_0_20170116214345265_proc.png,4,1.002
193,18_1_0_20170109212847067_proc.png,3,1.253
194,24_1_0_20170116214532199_proc.png,3,2.037
195,18_1_0_20170109213142404_proc.png,2,1.053
196,23_1_0_20170117144757777_proc.png,2,1.226
197,24_1_0_20170116222759439_proc.png,3,1.131
198,23_1_0_20170116222839270_proc.png,3,1.173
199,20_1_0_20170104020855852_proc.png,4,1.603
200,21_1_0_20170105183522855_proc.png,3,1.21
201,24_1_0_20170117194916850_proc.png,2,1.452
202,18_1_0_20170109212936696_proc.png,4,1.22
203,23_1_0_20170112234313416_proc.png,3,1.403
204,22_1_0_20170103163248351_proc.png,4,5.562
205,18_1_0_20170109212814819_proc.png,3,1.74
206,19_1_0_20170103175624137_proc.png,3,1.019
207,22_1_0_20170117171049498_proc.png,3,17.139
208,18_1_0_20170109213904824_proc.png,4,10.868
209,20_1_0_20170119153738075_proc.png,4,0.699
210,18_1_0_20170109214251980_proc.png,4,0.741
211,23_1_0_20170103163102400_proc.png,5,1.027
212,20_1_0_20170117193612788_proc.png,2,1.924
213,24_1_0_20170116205900085_proc.png,4,2.388
214,24_1_0_20170112230455412_proc.png,2,1.212
215,23_1_0_20170104234542547_proc.png,3,0.875
216,23_1_0_20170112234244982_proc.png,3,1.242
217,25_1_0_20170109214731480_proc.png,1,1.092
218,18_1_0_20170109214106546_proc.png,2,1.165
219,24_1_0_20170117150535820_proc.png,3,2.859
220,18_1_0_20170109214044181_proc.png,5,3.259
221,18_1_0_20170109213544430_proc.png,1,2.06
222,22_1_0_20170116214345265_proc.png,4,4.014
223,25_1_0_20170117195346437_proc.png,3,0.811
224,20_1_0_20170119153410801_proc.png,3,0.957
225,20_1_0_20170103201716816_proc.png,4,1.988
226,23_1_0_20170104023208069_proc.png,3,0.89
227,23_1_0_20170117144740562_proc.png,3,2.276
228,21_1_0_20170117141834506_proc.png,3,1.108
229,22_1_0_20170116220934918_proc.png,2,9.565
230,19_1_0_20170109213247084_proc.png,3,0.981
231,20_1_0_20170109212842300_proc.png,3,1.077
232,22_1_0_20170116220936851_proc.png,2,1.156
233,18_1_0_20170109214554528_proc.png,5,4.477
234,24_1_0_20170112230455412_proc.png,3,0.797
235,22_1_0_20170112233719345_proc.png,3,1.012
236,24_1_0_20170116211933213_proc.png,4,2.845
237,25_1_0_20170117140853353_proc.png,2,1.292
238,19_1_0_20170112231655238_proc.png,3,1.875
239,25_1_0_20170109214731480_proc.png,1,1.517
240,24_1_0_20170116211912644_proc.png,4,2.773
241,25_1_0_20170103183722595_proc.png,3,1.301
242,20_1_0_20170114031424981_proc.png,3,8.013
243,25_1_0_20170119172027811_proc.png,3,1.099
244,18_1_0_20170109212908376_proc.png,4,1.196
245,24_1_0_20170117150813388_proc.png,3,0.955
246,18_1_0_20170117140340105_proc.png,3,6.837
247,21_1_0_20170104231331482_proc.png,3,3.298
248,18_1_0_20170109214503497_proc.png,4,1.573
249,22_1_0_20170117171049498_proc.png,3,1.292
250,19_1_0_20170116212113630_proc.png,3,20.516
251,25_1_0_20170117141726361_proc.png,3,5.061
252,25_1_0_20170116223905448_proc.png,3,2.251
253,25_1_0_20170116223905448_proc.png,3,0.301
254,18_1_0_20170109214559082_proc.png,4,1.393
255,22_1_0_20170109213059848_proc.png,4,1.13
256,18_1_0_20170109214309566_proc.png,3,2.65
257,20_1_0_20170117141204569_proc.png,4,1.494
258,19_1_0_20170103175610671_proc.png,4,1.045
259,25_1_0_20170112235132967_proc.png,4,2.101
260,25_1_0_20170103163718321_proc.png,5,4.995
261,18_1_0_20170109214646809_proc.png,4,0.741
262,18_1_0_20170109212914272_proc.png,4,0.842
263,24_1_0_20170116214532199_proc.png,3,0.94
264,20_1_0_20170103201733831_proc.png,4,1.166
265,23_1_0_20170116221717766_proc.png,3,1.329
266,24_1_0_20170111182452767_proc.png,3,1.388
267,18_1_0_20170109213413212_proc.png,4,4.627
268,18_1_0_20170109212538216_proc.png,4,0.729
269,24_1_0_20170116220232605_proc.png,3,1.181
270,25_1_0_20170117143952249_proc.png,4,1.059
271,18_1_0_20170109212425897_proc.png,4,1.443
272,18_1_0_20170109205411880_proc.png,3,1.58
273,18_1_0_20170109214309566_proc.png,2,1.293
